aisportsguru-mobile/app/(onboarding)/terms.tsx(3,27): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/(onboarding)/welcome.tsx(2,88): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/(onboarding)/welcome.tsx(3,27): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/(onboarding)/welcome.tsx(4,26): error TS2307: Cannot find module '@react-native-async-storage/async-storage' or its corresponding type declarations.
aisportsguru-mobile/app/(public)/paywall.tsx(2,110): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/(public)/paywall.tsx(3,27): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/(public)/paywall.tsx(4,45): error TS2307: Cannot find module 'react-native-purchases' or its corresponding type declarations.
aisportsguru-mobile/app/(public)/paywall.tsx(5,32): error TS2307: Cannot find module 'expo-linear-gradient' or its corresponding type declarations.
aisportsguru-mobile/app/(public)/paywall.tsx(6,26): error TS2307: Cannot find module 'expo-haptics' or its corresponding type declarations.
aisportsguru-mobile/app/(public)/privacy.tsx(2,66): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/(public)/privacy.tsx(3,27): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/(public)/responsible.tsx(2,75): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/(public)/responsible.tsx(3,27): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/(tabs)/_layout.tsx(2,22): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/(tabs)/_layout.tsx(3,26): error TS2307: Cannot find module '@expo/vector-icons' or its corresponding type declarations.
aisportsguru-mobile/app/(tabs)/account.tsx(2,65): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/(tabs)/account.tsx(4,24): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/(tabs)/account/privacy.tsx(2,66): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/(tabs)/account/settings.tsx(2,73): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/(tabs)/account/terms.tsx(2,60): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/(tabs)/home/_layout.tsx(2,23): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/(tabs)/home/admin.tsx(2,59): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/(tabs)/home/index.tsx(2,77): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/(tabs)/home/index.tsx(4,24): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/(tabs)/home/league/[id].tsx(2,52): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/(tabs)/home/league/[id].tsx(3,38): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/(tabs)/home/league/index.tsx(2,41): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/(tabs)/home/league/index.tsx(3,27): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/(tabs)/home/league/mlb.tsx(3,55): error TS2322: Type '{ league: string; }' is not assignable to type 'IntrinsicAttributes & { leagueId?: string; }'.
  Property 'league' does not exist on type 'IntrinsicAttributes & { leagueId?: string; }'. Did you mean 'leagueId'?
aisportsguru-mobile/app/(tabs)/home/league/nba.tsx(3,55): error TS2322: Type '{ league: string; }' is not assignable to type 'IntrinsicAttributes & { leagueId?: string; }'.
  Property 'league' does not exist on type 'IntrinsicAttributes & { leagueId?: string; }'. Did you mean 'leagueId'?
aisportsguru-mobile/app/(tabs)/home/league/ncaab.tsx(3,57): error TS2322: Type '{ league: string; }' is not assignable to type 'IntrinsicAttributes & { leagueId?: string; }'.
  Property 'league' does not exist on type 'IntrinsicAttributes & { leagueId?: string; }'. Did you mean 'leagueId'?
aisportsguru-mobile/app/(tabs)/home/league/ncaaf.tsx(3,57): error TS2322: Type '{ league: string; }' is not assignable to type 'IntrinsicAttributes & { leagueId?: string; }'.
  Property 'league' does not exist on type 'IntrinsicAttributes & { leagueId?: string; }'. Did you mean 'leagueId'?
aisportsguru-mobile/app/(tabs)/home/league/nfl.tsx(3,55): error TS2322: Type '{ league: string; }' is not assignable to type 'IntrinsicAttributes & { leagueId?: string; }'.
  Property 'league' does not exist on type 'IntrinsicAttributes & { leagueId?: string; }'. Did you mean 'leagueId'?
aisportsguru-mobile/app/(tabs)/home/league/nhl.tsx(3,55): error TS2322: Type '{ league: string; }' is not assignable to type 'IntrinsicAttributes & { leagueId?: string; }'.
  Property 'league' does not exist on type 'IntrinsicAttributes & { leagueId?: string; }'. Did you mean 'leagueId'?
aisportsguru-mobile/app/(tabs)/home/league/wnba.tsx(3,56): error TS2322: Type '{ league: string; }' is not assignable to type 'IntrinsicAttributes & { leagueId?: string; }'.
  Property 'league' does not exist on type 'IntrinsicAttributes & { leagueId?: string; }'. Did you mean 'leagueId'?
aisportsguru-mobile/app/(tabs)/home/prediction/[id].tsx(2,77): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/(tabs)/home/prediction/[id].tsx(3,49): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/(tabs)/home/prediction/[id].tsx(4,10): error TS2305: Module '"../../../../src/data/api"' has no exported member 'cachedJSON'.
aisportsguru-mobile/app/(tabs)/home/settings.tsx(2,60): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/(tabs)/index.tsx(1,26): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/(tabs)/sports.tsx(2,82): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/(tabs)/sports.tsx(3,24): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/(tabs)/sports.tsx(5,26): error TS2307: Cannot find module '@tanstack/react-query' or its corresponding type declarations.
aisportsguru-mobile/app/+not-found.tsx(1,29): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/+not-found.tsx(2,28): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/+not-found.tsx(4,28): error TS2307: Cannot find module '@/components/ThemedText' or its corresponding type declarations.
aisportsguru-mobile/app/+not-found.tsx(5,28): error TS2307: Cannot find module '@/components/ThemedView' or its corresponding type declarations.
aisportsguru-mobile/app/_layout.tsx(1,22): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/_layout.tsx(5,22): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/account/index.tsx(1,39): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/account/index.tsx(2,24): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/account/privacy.tsx(1,26): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/account/settings.tsx(1,26): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/account/terms.tsx(2,60): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/auth/index.tsx(1,26): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/auth/sign-in.tsx(2,76): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/auth/sign-in.tsx(4,24): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/auth/sign-up.tsx(2,76): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/auth/sign-up.tsx(4,24): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/index.tsx(2,87): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/index.tsx(3,32): error TS2307: Cannot find module 'expo-linear-gradient' or its corresponding type declarations.
